day,netfund_reward
2017-11-05,647.05729880
2017-11-06,703.62805975
2017-11-07,642.80789543
2017-11-08,620.28327980
2017-11-09,697.58724079
2017-11-10,711.01128192
2017-11-11,554.55176806
2017-11-12,618.89458589
2017-11-13,712.39997583
2017-11-14,655.46352552
2017-11-15,647.13136206
2017-11-16,698.51303673
2017-11-17,682.77450575
2017-11-18,548.53409445
2017-11-19,668.88756665
2017-11-20,726.74981290
2017-11-21,596.21258536
2017-11-22,706.38230222
2017-11-23,641.11368845
2017-11-24,671.66495447
2017-11-25,637.41050469
2017-11-26,680.46001590
2017-11-27,644.81687221
2017-11-28,656.85221943
2017-11-29,647.41551730
2017-11-30,650.80704711
2017-12-01,687.93054775
2017-12-02,622.39152816
2017-12-03,594.43432405
2017-12-04,705.80482575
2017-12-05,648.97378775
2017-12-06,609.55871309
2017-12-07,640.26580621
2017-12-08,630.18288013
2017-12-09,644.39063958
2017-12-10,666.84806581
2017-12-11,653.55693606
2017-12-12,674.18110310
2017-12-13,741.09506677
2017-12-14,527.97867458
2017-12-15,646.68221366
2017-12-16,686.55560323
2017-12-17,679.22256604
2017-12-18,529.35361927
2017-12-19,760.34428932
2017-12-20,625.94006494
2017-12-21,567.22131488
2017-12-22,684.29579426
2017-12-23,634.38031852
2017-12-24,700.63176815
2017-12-25,607.60747249
2017-12-26,654.34650889
2017-12-27,600.34703970
2017-12-28,664.78338110
2017-12-29,692.46378126
2017-12-30,626.21233165
2017-12-31,627.57366278
2018-01-01,627.11988572
2018-01-02,685.65712547
2018-01-03,694.27888948
2018-01-04,623.03589231
2018-01-05,652.07762362
2018-01-06,622.12833818
2018-01-07,682.93446312
2018-01-08,615.77545944
2018-01-09,598.53193148
2018-01-10,753.44512713
2018-01-11,581.82305195
2018-01-12,579.12734669
2018-01-13,752.10176754
2018-01-14,615.51936770
2018-01-15,693.69482024
2018-01-16,520.27111518
2018-01-17,671.23060974
2018-01-18,686.50627288
2018-01-19,658.20136765
2018-01-20,664.04206238
2018-01-21,645.62140977
2018-01-22,605.18583087
2018-01-23,637.98357820
2018-01-24,699.08623076
2018-01-25,637.98357820
2018-01-26,559.80812566
2018-01-27,750.30463070
2018-01-28,608.33082034
2018-01-29,598.89585193
2018-01-30,690.10054656
2018-01-31,681.66201034
2018-02-01,634.78075795
2018-02-02,653.01902780
2018-02-03,663.25025235
2018-02-04,655.68804290
2018-02-05,569.38988800
2018-02-06,671.70213350
2018-02-07,688.16105995
2018-02-08,613.42863715
2018-02-09,597.41454655
2018-02-10,703.73031470
2018-02-11,625.88404095
2018-02-12,593.41102390
2018-02-13,668.14344670
2018-02-14,681.04368635
2018-02-15,614.31830885
2018-02-16,619.65633905
2018-02-17,637.00493720
2018-02-18,633.44625040
2018-02-19,650.35001270
2018-02-20,587.62815785
2018-02-21,655.24320705
2018-02-22,685.10887114
2018-02-23,609.55724580
2018-02-24,616.16371882
2018-02-25,609.11681426
2018-02-26,621.88932882
2018-02-27,698.52441606
2018-02-28,604.27206736
2018-03-01,601.62947814
2018-03-02,649.63651538
2018-03-03,613.96156114
2018-03-04,602.95077274
2018-03-05,616.60415038
2018-03-06,661.08773548
2018-03-07,604.27206734
2018-03-08,646.55349480
2018-03-09,594.14214204
2018-03-10,680.46672308
2018-03-11,621.00846574
2018-03-12,767.67216720
2018-03-13,668.13464008
2018-03-14,548.77769382
2018-03-15,657.15437694
2018-03-16,644.51268377
2018-03-17,623.58128402
2018-03-18,615.29593829
2018-03-19,606.13845089
2018-03-20,616.16807995
2018-03-21,632.30270059
2018-03-22,652.79802949
2018-03-23,579.97420122
2018-03-24,617.91236325
2018-03-25,621.40092989
2018-03-26,662.39158771
2018-03-27,623.58128401
2018-03-28,580.41027202
2018-03-29,593.05632602
2018-03-30,672.85728753
2018-03-31,655.85052524
2018-04-01,541.59996835
2018-04-02,641.46018796
2018-04-03,652.36195867
2018-04-04,644.07661293
2018-04-05,660.58685815
2018-04-06,487.44946890
2018-04-07,684.76072422
2018-04-08,670.94461882
2018-04-09,608.34039119
2018-04-10,528.46603182
2018-04-11,723.61852069
2018-04-12,560.84752888
2018-04-13,666.62708585
2018-04-14,626.47402957
2018-04-15,601.86409179
2018-04-16,544.87265701
2018-04-17,709.37066200
2018-04-18,493.49401500
2018-04-19,603.59110497
2018-04-20,680.01143799
2018-04-21,645.90292778
2018-04-22,632.95032894
2018-04-23,569.05084144
2018-04-24,627.76928939
2018-04-25,671.80812541
2018-04-26,533.26234060
2018-04-27,707.90440919
2018-04-28,607.87443834
2018-04-29,621.98122912
2018-04-30,563.41667353
2018-05-01,630.10332075
2018-05-02,630.53079929
2018-05-03,640.79028346
2018-05-04,571.11128667
2018-05-05,670.28630052
2018-05-06,605.73704582
2018-05-07,649.76733215
2018-05-08,581.79824936
2018-05-09,621.55375062
2018-05-10,703.20214564
2018-05-11,607.87443837
2018-05-12,567.69145859
2018-05-13,636.94297690
2018-05-14,640.79028348
2018-05-15,611.29426642
2018-05-16,636.94297689
2018-05-17,643.00809292
2018-05-18,613.28352354
2018-05-19,608.20457096
2018-05-20,606.08834071
2018-05-21,585.34928437
2018-05-22,567.57295035
2018-05-23,700.04896338
2018-05-24,626.82739705
2018-05-25,633.17608778
2018-05-26,601.85588024
2018-05-27,608.62781700
2018-05-28,646.71996130
2018-05-29,620.90195239
2018-05-30,582.38656202
2018-05-31,615.39975376
2018-06-01,625.13441287
2018-06-02,683.54236750
2018-06-03,580.69357782
2018-06-04,615.82299981
2018-06-05,556.56855312
2018-06-06,640.37127060
2018-06-07,607.14436099
2018-06-08,660.43145852
2018-06-09,605.11613331
2018-06-10,575.36319323
2018-06-11,598.41124540
2018-06-12,652.46940408
2018-06-13,586.67769151
2018-06-14,595.47785696
2018-06-15,606.37329980
2018-06-16,623.13551956
2018-06-17,667.13634641
2018-06-18,489.45681696
2018-06-19,655.40279259
2018-06-20,604.69707783
2018-06-21,587.51580255
2018-06-22,680.54612223
2018-06-23,581.64902564
2018-06-24,535.97197679
2018-06-25,623.55457505
2018-06-26,629.42135194
2018-06-27,671.32690134
2018-06-28,539.86794755
2018-06-29,657.21178194
2018-06-30,534.39947925
2018-07-01,585.43296990
2018-07-02,626.92361269
2018-07-03,566.76218063
2018-07-04,647.66893408
2018-07-05,579.62427990
2018-07-06,590.41184704
2018-07-07,625.26398698
2018-07-08,525.27153783
2018-07-09,636.88136697
2018-07-10,584.60315704
2018-07-11,584.18825059
2018-07-12,602.85903986
2018-07-13,611.98698128
2018-07-14,626.92361270
2018-07-15,592.48637917
2018-07-16,549.75101708
2018-07-17,633.56211552
2018-07-18,556.80442634
2018-07-19,611.39543155
2018-07-20,621.53804574
2018-07-21,541.84314760
2018-07-22,577.58261225
2018-07-23,664.26108394
2018-07-24,520.89242697
2018-07-25,579.63660440
2018-07-26,628.93241772
2018-07-27,610.03568931
2018-07-28,587.44177486
2018-07-29,549.64831806
2018-07-30,539.37835691
2018-07-31,650.29393679
2018-08-01,587.44177488
2018-08-02,580.86899979
2018-08-03,631.39720835
2018-08-04,594.01455001
2018-08-05,565.66945737
2018-08-06,585.38778268
2018-08-07,635.91599127
2018-08-08,529.51919431
2018-08-09,625.23523173
2018-08-10,617.88559936
2018-08-11,509.22737724
2018-08-12,560.06876874
2018-08-13,625.55248100
2018-08-14,614.57074042
2018-08-15,567.79666024
2018-08-16,537.69855649
