Date,Open,High,Low,Close,Adj Close,Volume
2018-11-09,38.994701,40.928600,38.934601,40.800201,40.800201,1569910
2018-11-10,40.619301,41.077900,39.334499,40.375301,40.375301,1539240
2018-11-11,40.397900,40.561699,38.706600,39.277500,39.277500,1254290
2018-11-12,39.503502,40.504299,38.725300,39.936901,39.936901,1601100
2018-11-13,39.800201,40.038898,38.695999,39.022800,39.022800,1097430
2018-11-14,38.888401,39.291599,33.770199,34.547798,34.547798,1930050
2018-11-15,34.730598,35.047600,32.183201,34.448799,34.448799,2574430
2018-11-16,34.464001,34.742500,32.134602,32.946701,32.946701,2318600
2018-11-17,33.010799,33.175900,32.147598,32.696400,32.696400,1946570
2018-11-18,32.783901,33.926102,32.478699,33.421101,33.421101,1407790
2018-11-19,33.535400,33.535400,25.903799,25.908001,25.908001,2990980
2018-11-20,25.831301,26.843201,22.556999,23.961000,23.961000,2504570
2018-11-21,24.030100,26.182600,23.453800,26.173201,26.173201,1583450
2018-11-22,26.121401,26.610600,24.319201,24.324200,24.324200,1153700
2018-11-23,24.182199,24.348900,22.401199,23.073500,23.073500,1527210
2018-11-24,23.076599,23.390200,19.993700,20.468100,20.468100,1103890
2018-11-25,20.420200,22.067900,18.534100,21.368900,21.368900,1468980
2018-11-26,21.499201,21.941700,18.806499,19.694799,19.694799,1182670
2018-11-27,19.685699,20.021400,19.042999,19.787201,19.787201,1002830
2018-11-28,19.833599,23.149799,19.833599,21.733700,21.733700,1753670
2018-11-29,21.813398,22.318193,20.919149,21.600691,21.600691,1499263
2018-11-30,21.694769,21.842720,19.396637,19.919743,19.919743,1350731
2018-12-01,19.956640,21.312483,19.642450,20.670507,20.670507,1171898
2018-12-02,20.673223,21.451803,20.350624,20.597773,20.597773,935572
2018-12-03,20.580414,20.580414,18.991648,19.266459,19.266459,1025663
2018-12-04,19.243027,20.408169,19.049490,19.722218,19.722218,991210
2018-12-05,19.728933,19.883535,18.693905,18.818552,18.818552,915210
2018-12-06,18.800962,19.654043,18.213202,18.239891,18.239891,1579240
2018-12-07,18.227386,18.227386,15.560636,17.233498,17.233498,1534530
2018-12-08,17.200621,17.567181,16.336205,17.114912,17.114912,865349
2018-12-09,17.068195,18.019875,16.934282,17.601500,17.601500,925906
2018-12-10,17.527660,17.711437,15.605323,15.647982,15.647982,1020288
