day,avg_block_voters,avg_block_poolsize,avg_block_difficulty,avg_hashrate
2016-11-05,5,41553,776752.10090999,11120.41623503
2016-11-06,5,41533,922424.49143801,13205.94341252
2016-11-07,5,41531,869186.04343917,12443.75210237
2016-11-08,5,41997,787186.62493143,11269.80269976
2016-11-09,5,41501,800714.56856738,11463.47628476
2016-11-10,5,41580,764345.94348683,10942.80276702
2016-11-11,5,42018,750444.79352491,10743.78615214
2016-11-12,5,41860,805696.40133393,11534.79898078
2016-11-13,5,42702,935526.24123739,13393.51536888
2016-11-14,5,42311,842425.94486874,12060.63960838
2016-11-15,5,41928,859342.24007952,12302.82272404
2016-11-16,5,42326,835458.33934692,11960.88748222
2016-11-17,5,41693,831094.02048793,11898.40545966
2016-11-18,5,42712,854303.17498348,12230.68065808
2016-11-19,5,42115,880638.16035700,12607.70699448
2016-11-20,5,42978,903121.30973071,12929.58829871
2016-11-21,5,42264,1035303.13378003,14821.97700344
2016-11-22,5,43423,894235.89994496,12802.37981724
2016-11-23,5,42283,817181.03888533,11699.21945641
2016-11-24,5,42094,845270.67062361,12101.36628865
2016-11-25,5,42100,850606.18809692,12177.75253217
2016-11-26,4,41762,751711.48567799,10761.92082338
2016-11-27,5,42369,756904.91303538,10836.27282556
2016-11-28,5,42177,795834.87532494,11393.61587512
2016-11-29,5,42486,798766.18033318,11435.58207227
2016-11-30,5,42461,831945.04278093,11910.58916938
2016-12-01,5,42337,847392.30185315,12131.74074447
2016-12-02,5,42140,807577.10784374,11561.72422396
2016-12-03,5,43356,870926.79625613,12468.67369043
2016-12-04,5,42351,939137.02043747,13445.20929747
2016-12-05,5,43349,871486.66120749,12476.68902929
2016-12-06,5,42309,782972.19699895,11209.46659929
2016-12-07,5,42157,835637.36400905,11963.45049912
2016-12-08,5,42025,876950.82872847,12554.91709863
2016-12-09,5,42172,849641.21757764,12163.93747610
2016-12-10,5,41653,865249.40613672,12387.39300747
2016-12-11,5,42755,896907.11628821,12840.62244003
2016-12-12,5,41921,884148.64974354,12657.96511817
2016-12-13,5,43032,886673.80318437,12694.11662299
2016-12-14,5,42181,841148.67025943,12042.35343279
2016-12-15,5,43295,829038.34213533,11868.97522200
2016-12-16,5,42485,878846.56207886,12582.05747444
2016-12-17,5,43257,942360.01377019,13491.35146734
2016-12-18,5,42097,856421.73051589,12261.01108050
2016-12-19,5,43288,785127.22719228,11240.31921330
2016-12-20,5,42683,875450.16639383,12533.43277980
2016-12-21,5,43597,928704.47206847,13295.85111728
2016-12-22,5,42520,872834.14266908,12495.98032532
2016-12-23,5,42543,854767.26320655,12237.32480388
2016-12-24,5,42536,865516.64110932,12391.21889236
2016-12-25,5,42340,872749.94256315,12494.77486965
2016-12-26,5,43120,840375.49313634,12031.28419793
2016-12-27,5,42050,752238.07719419,10769.45980118
2016-12-28,5,43168,746892.10898652,10692.92393913
2016-12-29,5,42307,794530.87932905,11374.94714127
2016-12-30,5,43454,786685.98764140,11262.63529714
2016-12-31,5,42511,847288.93184768,12130.26084183
2017-01-01,5,43059,820577.10656992,11747.83945521
2017-01-02,5,42095,829459.95587433,11875.01127941
2017-01-03,5,43276,814072.57770330,11654.71699269
2017-01-04,5,42434,809489.48819501,11589.10292751
2017-01-05,5,43593,875910.34190298,12540.02090900
2017-01-06,5,42653,915686.33058139,13109.47614414
2017-01-07,5,43862,885034.13225720,12670.64217963
2017-01-08,5,42779,827025.37762818,11840.15649958
2017-01-09,5,42614,854839.79529745,12238.36321374
2017-01-10,5,42765,795450.28489049,11388.10986400
2017-01-11,5,42940,867577.95216180,12420.72977089
2017-01-12,5,43042,916960.60177577,13127.71932116
2017-01-13,5,43353,788991.82567174,11295.64696024
2017-01-14,5,43044,805664.75460667,11534.34590859
2017-01-15,5,42684,962232.23424580,13775.85325748
2017-01-16,5,42747,1013823.25586685,14514.45909291
2017-01-17,5,43132,917466.48350578,13134.96180611
2017-01-18,5,43188,930604.56307790,13323.05387976
2017-01-19,5,43327,934106.11465306,13373.18404476
2017-01-20,5,42985,925417.04360449,13248.78645814
2017-01-21,5,42775,929672.41415243,13309.70871593
2017-01-22,5,42858,966758.90127555,13840.65954698
2017-01-23,5,43095,930996.49525750,13328.66499941
2017-01-24,5,43137,830805.41016082,11894.27355327
2017-01-25,5,43385,908390.56023586,13005.02582736
2017-01-26,5,43155,909223.84934183,13016.95565889
2017-01-27,5,43366,927231.90547643,13274.76903276
2017-01-28,5,43188,931421.39383570,13334.74808440
2017-01-29,5,43334,967708.69546895,13854.25733031
2017-01-30,5,43196,1069147.71355935,15306.51488110
2017-01-31,5,43329,1106532.40528117,15841.73497549
2017-02-01,5,43189,1194860.70793277,17106.29221282
2017-02-02,5,43446,1260534.06487568,18046.50861378
2017-02-03,5,43190,1340490.27315648,19191.20627938
2017-02-04,5,43672,1565394.57372259,22411.06166491
2017-02-05,5,43057,1964367.95536027,28122.98708528
2017-02-06,5,43803,1822477.99785822,26091.61132827
2017-02-07,5,43464,1437904.69864040,20585.84551808
2017-02-08,5,43786,1472986.91974312,21088.10215911
2017-02-09,5,43432,1642339.54020373,23512.64871368
2017-02-10,5,43841,1611934.98029912,23077.36007888
