day,sum_pos_reward
2018-08-18,6320.60181298
2018-08-19,5385.12020616
2018-08-20,6096.89968961
2018-08-21,5519.34148021
2018-08-22,5686.10124484
2018-08-23,6430.41921899
2018-08-24,5820.32251881
2018-08-25,5307.84129081
2018-08-26,6129.43818031
2018-08-27,5881.33218890
2018-08-28,5702.37049014
2018-08-29,6027.75539688
2018-08-30,5852.86100953
2018-08-31,6072.39514015
2018-09-01,5613.69503958
2018-09-02,5476.77564843
2018-09-03,5879.47974017
2018-09-04,6262.04862739
2018-09-05,5098.23380214
2018-09-06,5863.37157647
2018-09-07,5879.47974018
2018-09-08,5666.04657156
2018-09-09,5758.66851253
2018-09-10,5577.45167138
2018-09-11,6221.77821822
2018-09-12,5392.20778915
2018-09-13,6032.50729514
2018-09-14,5911.69606757
2018-09-15,5569.39758952
2018-09-16,5706.31698074
2018-09-17,6197.61597275
2018-09-18,5154.61237494
2018-09-19,5851.29045378
2018-09-20,5847.26341276
2018-09-21,5281.90275332
2018-09-22,6120.30477106
2018-09-23,5673.74181706
2018-09-24,5825.25424793
2018-09-25,5454.44750933
2018-09-26,6315.67606345
2018-09-27,5310.90941698
2018-09-28,6459.21415579
2018-09-29,5434.51166314
2018-09-30,4856.37212454
2018-10-01,6168.15080188
2018-10-02,5968.79234026
2018-10-03,5952.84366327
2018-10-04,5633.87012464
2018-10-05,5542.16523230
2018-10-06,5976.76667855
2018-10-07,5227.17886305
2018-10-08,5901.01046315
2018-10-09,5550.13957076
2018-10-10,5793.35689390
2018-10-11,5773.42104773
2018-10-12,5818.99715534
2018-10-13,5558.35076682
2018-10-14,6071.55076660
2018-10-15,5510.97845912
2018-10-16,5439.91999764
2018-10-17,5972.85845891
2018-10-18,6126.81845886
2018-10-19,5041.20307473
2018-10-20,5479.39692066
2018-10-21,6067.60307427
2018-10-22,5518.87384374
2018-10-23,5420.18153609
2018-10-24,5846.53230515
2018-10-25,5988.64922819
2018-10-26,5566.24615142
2018-10-27,5439.91999760
2018-10-28,5767.57845899
2018-10-29,5507.03076683
