day,sum_total_reward,sum_reward
2017-08-03,6743.03442950,5883768.86518421
2017-08-04,7015.48026502,5890784.34544923
2017-08-05,7390.09328887,5898174.43873810
2017-08-06,6115.43598691,5904289.87472501
2017-08-07,7234.40995427,5911524.28467928
2017-08-08,7049.53599445,5918573.82067373
2017-08-09,7555.50683185,5926129.32750558
2017-08-10,6728.43911687,5932857.76662245
2017-08-11,6806.28078417,5939664.04740662
2017-08-12,6699.24849163,5946363.29589825
2017-08-13,6869.52713882,5953232.82303707
2017-08-14,7399.84758035,5960632.67061742
2017-08-15,6782.24427156,5967414.91488898
2017-08-16,7032.72488304,5974447.63977202
2017-08-17,5934.46373760,5980382.10350962
2017-08-18,7182.04986426,5987564.15337388
2017-08-19,6960.47086106,5994524.62423494
2017-08-20,7413.26273718,6001937.88697212
2017-08-21,6170.49354530,6008108.38051742
2017-08-22,6555.84833346,6014664.22885088
2017-08-23,7726.36350248,6022390.59235336
2017-08-24,7225.40227780,6029615.99463116
2017-08-25,6088.60565284,6035704.60028400
2017-08-26,6295.73385146,6042000.33413546
2017-08-27,7784.16672068,6049784.50085614
2017-08-28,6849.68135944,6056634.18221558
2017-08-29,7673.37721914,6064307.55943472
2017-08-30,5924.82986784,6070232.38930256
2017-08-31,7196.50066880,6077428.88997136
2017-09-01,7557.77078266,6084986.66075402
2017-09-02,6223.47982872,6091210.14058274
2017-09-03,7292.83936592,6098502.97994866
2017-09-04,7184.79217882,6105687.77212748
2017-09-05,7153.86364793,6112841.63577541
2017-09-06,5780.32182756,6118621.95760297
2017-09-07,7673.71107303,6126295.66867600
2017-09-08,6347.86167692,6132643.53035292
2017-09-09,6390.78485881,6139034.31521173
2017-09-10,6982.17092040,6146016.48613213
2017-09-11,6858.17061712,6152874.65674925
2017-09-12,7311.24864817,6160185.90539742
2017-09-13,6529.09288928,6166714.99828670
2017-09-14,6614.93925309,6173329.93753979
2017-09-15,7587.86470924,6180917.80224903
2017-09-16,6438.47728312,6187356.27953215
2017-09-17,6581.55455605,6193937.83408820
2017-09-18,6467.09273772,6200404.92682592
2017-09-19,7025.09410224,6207430.02092816
2017-09-20,7440.01819386,6214870.03912202
2017-09-21,6648.32395009,6221518.36307211
2017-09-22,6076.01485832,6227594.37793043
2017-09-23,6896.32455661,6234490.70248704
2017-09-24,7769.09592164,6242259.79840868
2017-09-25,6486.16970745,6248745.96811613
2017-09-26,6873.44635518,6255619.41447131
2017-09-27,6233.06931184,6261852.48378315
2017-09-28,7002.75893145,6268855.24271460
2017-09-29,7323.85644143,6276179.09915603
2017-09-30,5789.19922450,6281968.29838053
2017-10-01,7569.40159615,6289537.69997668
2017-10-02,6511.66862203,6296049.36859871
2017-10-03,6450.28233332,6302499.65093203
2017-10-04,7026.36904248,6309526.01997451
2017-10-05,6412.50615568,6315938.52613019
2017-10-06,7149.14161982,6323087.66775001
2017-10-07,7125.53150881,6330213.19925882
2017-10-08,6247.23537847,6336460.43463729
2017-10-09,6313.34368937,6342773.77832666
2017-10-10,6804.43399877,6349578.21232543
2017-10-11,6643.88524379,6356222.09756922
2017-10-12,7286.08026379,6363508.17783301
2017-10-13,6488.05851098,6369996.23634399
2017-10-14,6577.77693287,6376574.01327686
2017-10-15,6398.34008905,6382972.35336591
2017-10-16,6870.54230969,6389842.89567560
2017-10-17,7385.54662092,6397228.44229652
2017-10-18,6596.80527577,6403825.24757229
2017-10-19,6147.97940301,6409973.22697530
2017-10-20,7083.03330459,6417056.26027989
2017-10-21,6839.91929018,6423896.17957007
2017-10-22,6493.94934656,6430390.12891663
2017-10-23,6797.84186458,6437187.97078121
2017-10-24,6475.24826855,6443663.21904976
2017-10-25,5946.94281411,6449610.16186387
2017-10-26,7026.93007048,6456637.09193435
2017-10-27,6727.71282197,6463364.80475632
2017-10-28,7036.28060949,6470401.08536581
2017-10-29,5675.77718259,6476076.86254840
2017-10-30,6035.77293466,6482112.63548306
2017-10-31,7372.90001407,6489485.53549713
2017-11-01,6666.93431837,6496152.46981550
2017-11-02,6550.05258068,6502702.52239618
2017-11-03,5708.50406925,6508411.02646543
2017-11-04,7349.52366653,6515760.55013196
2017-11-05,6470.57299903,6522231.12313099
2017-11-06,7036.28060950,6529267.40374049
2017-11-07,6428.14839995,6535695.55214044
2017-11-08,6202.83280869,6541898.38494913
2017-11-09,6975.87241990,6548874.25736903
2017-11-10,7110.11283145,6555984.37020048
2017-11-11,5545.51769016,6561529.88789064
2017-11-12,6188.94586957,6567718.83376021
2017-11-13,7123.99977055,6574842.83353076
2017-11-14,6554.63526648,6581397.46879724
2017-11-15,6471.31363173,6587868.78242897
2017-11-16,6985.13037933,6594853.91280830
2017-11-17,6827.74506925,6601681.65787755
2017-11-18,5485.34095393,6607166.99883148
2017-11-19,6688.87567802,6613855.87450950
2017-11-20,7267.49814152,6621123.37265102
2017-11-21,5962.12586387,6627085.49851489
2017-11-22,7063.82303434,6634149.32154923
2017-11-23,6411.13689552,6640560.45844475
2017-11-24,6716.64955625,6647277.10800100
