day,block_count
2019-02-14,319
2019-02-15,271
2019-02-16,312
2019-02-17,261
2019-02-18,281
2019-02-19,290
2019-02-20,320
2019-02-21,234
2019-02-22,347
2019-02-23,270
2019-02-24,276
2019-02-25,274
2019-02-26,257
2019-02-27,276
2019-02-28,320
2019-03-01,310
2019-03-02,284
2019-03-03,277
2019-03-04,295
2019-03-05,297
2019-03-06,271
2019-03-07,283
2019-03-08,305
2019-03-09,294
2019-03-10,262
2019-03-11,255
2019-03-12,330
2019-03-13,275
2019-03-14,326
2019-03-15,263
2019-03-16,267
2019-03-17,308
2019-03-18,289
2019-03-19,286
2019-03-20,299
2019-03-21,330
2019-03-22,267
2019-03-23,290
2019-03-24,272
2019-03-25,323
2019-03-26,285
2019-03-27,272
2019-03-28,313
2019-03-29,253
2019-03-30,292
2019-03-31,291
2019-04-01,267
2019-04-02,303
2019-04-03,306
2019-04-04,264
2019-04-05,251
2019-04-06,366
2019-04-07,248
2019-04-08,257
2019-04-09,327
2019-04-10,314
2019-04-11,275
2019-04-12,275
2019-04-13,299
2019-04-14,287
2019-04-15,276
2019-04-16,306
2019-04-17,215
2019-04-18,297
2019-04-19,336
2019-04-20,313
2019-04-21,267
2019-04-22,280
2019-04-23,284
2019-04-24,296
2019-04-25,300
2019-04-26,291
2019-04-27,271
2019-04-28,295
2019-04-29,285
2019-04-30,316
2019-05-01,253
2019-05-02,282
2019-05-03,304
2019-05-04,287
2019-05-05,289
2019-05-06,296
2019-05-07,258
2019-05-08,295
2019-05-09,330
2019-05-10,264
2019-05-11,262
2019-05-12,300
2019-05-13,289
2019-05-14,266
2019-05-15,278
2019-05-16,305
2019-05-17,301
2019-05-18,271
2019-05-19,284
2019-05-20,282
2019-05-21,310
2019-05-22,296
2019-05-23,278
2019-05-24,280
2019-05-25,302
2019-05-26,309
2019-05-27,262
2019-05-28,280
2019-05-29,311
2019-05-30,268
2019-05-31,292
2019-06-01,303
2019-06-02,292
2019-06-03,281
2019-06-04,269
2019-06-05,284
2019-06-06,303
2019-06-07,280
2019-06-08,277
2019-06-09,296
2019-06-10,305
2019-06-11,256
2019-06-12,312
2019-06-13,270
2019-06-14,283
2019-06-15,315
2019-06-16,271
2019-06-17,299
2019-06-18,278
2019-06-19,303
2019-06-20,268
2019-06-21,265
2019-06-22,299
2019-06-23,317
2019-06-24,285
2019-06-25,272
2019-06-26,268
2019-06-27,335
2019-06-28,257
2019-06-29,312
2019-06-30,281
2019-07-01,302
2019-07-02,267
2019-07-03,282
2019-07-04,311
2019-07-05,228
2019-07-06,313
2019-07-07,316
2019-07-08,286
2019-07-09,275
2019-07-10,273
2019-07-11,325
2019-07-12,272
2019-07-13,298
2019-07-14,284
2019-07-15,275
2019-07-16,288
2019-07-17,293
2019-07-18,301
2019-07-19,284
2019-07-20,273
2019-07-21,305
2019-07-22,291
2019-07-23,309
2019-07-24,274
2019-07-25,264
2019-07-26,266
2019-07-27,329
2019-07-28,283
2019-07-29,275
2019-07-30,277
2019-07-31,294
2019-08-01,265
2019-08-02,318
2019-08-03,291
2019-08-04,263
2019-08-05,318
2019-08-06,275
